full_name,census_tract,poverty,bachelors,associates,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,population,self_income,museums,pharmacies,score
"Census Tract 129, Hudson County, New Jersey",129,626,279,137,4198,16,0,0,0,4114,305700,4198,89,14,6,
"Census Tract 13, Atlantic County, New Jersey",13,467,172,79,1991,0,50,7,0,1991,240900,1991,12,21,4,
"Census Tract 13, Essex County, New Jersey",13,646,92,103,1844,0,0,3,15,1844,201900,1844,38,18,11,
"Census Tract 13, Hudson County, New Jersey",13,521,461,93,2876,10,0,42,30,2697,301500,2876,138,14,6,
"Census Tract 13, Mercer County, New Jersey",13,472,307,167,4235,0,74,63,0,3100,196300,4235,53,28,3,
"Census Tract 13, Middlesex County, New Jersey",13,575,730,61,4073,20,65,0,116,4073,349000,4073,303,16,3,
"Census Tract 130, Atlantic County, New Jersey",130,357,737,239,3473,0,10,43,0,3473,476700,3473,148,21,6,
"Census Tract 130, Essex County, New Jersey",130,287,297,107,1646,0,58,0,93,1646,NA,1646,35,18,4,
"Census Tract 130, Hudson County, New Jersey",130,366,214,127,3618,0,277,0,106,3618,329600,3618,68,14,3,
"Census Tract 130.01, Bergen County, New Jersey",130.01,345,2454,220,6355,18,304,42,184,6355,552400,6355,270,20,1,
"Census Tract 130.02, Bergen County, New Jersey",130.02,844,1709,120,5614,56,67,31,422,5614,518400,5614,183,20,6,
"Census Tract 131, Essex County, New Jersey",131,626,58,55,1774,0,41,6,0,1774,220600,1774,11,18,5,
"Census Tract 131, Hudson County, New Jersey",131,332,204,110,2140,0,30,0,63,2140,293300,2140,47,14,2,
"Census Tract 131.01, Atlantic County, New Jersey",131.01,10,426,95,1337,10,0,55,0,1337,656500,1337,28,21,1,
"Census Tract 131.02, Atlantic County, New Jersey",131.02,224,240,96,1533,12,71,0,0,1533,385600,1533,101,21,1,
"Census Tract 132, Essex County, New Jersey",132,771,229,117,2556,0,11,0,46,2556,245200,2556,76,18,2,
"Census Tract 132, Hudson County, New Jersey",132,809,460,74,4651,0,161,0,48,4643,249100,4651,152,14,6,
"Census Tract 132.01, Atlantic County, New Jersey",132.01,983,425,71,3106,0,11,0,75,3106,317700,3106,23,21,4,
"Census Tract 132.02, Atlantic County, New Jersey",132.02,463,229,166,2336,0,39,21,4,2336,256300,2336,56,21,1,
"Census Tract 133, Essex County, New Jersey",133,1348,128,190,3413,0,34,0,77,3413,181300,3413,7,18,11,
"Census Tract 133, Hudson County, New Jersey",133,389,232,153,3583,0,190,0,0,3498,293500,3583,122,14,3,
"Census Tract 133.01, Atlantic County, New Jersey",133.01,197,452,145,2693,79,0,23,0,2693,353200,2693,90,21,6,
"Census Tract 133.02, Atlantic County, New Jersey",133.02,118,216,63,2497,15,12,0,0,2497,276000,2497,81,21,2,
"Census Tract 1337.01, Passaic County, New Jersey",1337.01,820,696,264,5644,0,0,0,0,5591,236800,5644,94,15,1,
"Census Tract 1337.02, Passaic County, New Jersey",1337.02,186,374,128,2753,0,69,0,18,2694,315900,2753,87,15,5,
"Census Tract 134, Essex County, New Jersey",134,116,765,165,3870,103,0,9,8,3870,376800,3870,97,18,6,
"Census Tract 134, Hudson County, New Jersey",134,438,180,78,2551,15,35,12,8,2551,286500,2551,90,14,6,
"Census Tract 135, Atlantic County, New Jersey",135,61,586,177,2589,18,0,61,69,2544,557500,2589,106,21,7,
"Census Tract 135, Essex County, New Jersey",135,346,962,165,4742,0,0,0,79,4742,395400,4742,371,18,5,
"Census Tract 135, Hudson County, New Jersey",135,1265,521,89,4900,0,50,0,59,4900,257000,4900,112,14,5,
