"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","pharmacy","score"
"Census Tract 114.04, Atlantic County, New Jersey","114.04",1116,1263,791,10469,73,192,18,89,9279,205200,10469,239,NA,NA,NA
"Census Tract 115, Atlantic County, New Jersey","115",826,692,421,6276,12,0,25,0,6276,231500,6276,77,NA,NA,NA
"Census Tract 115, Essex County, New Jersey","115",581,151,117,2861,0,51,0,0,2861,231400,2861,43,NA,NA,NA
"Census Tract 115, Hudson County, New Jersey","115",251,547,162,3361,0,0,8,0,3361,319400,3361,10,NA,NA,NA
"Census Tract 115, Hunterdon County, New Jersey","115",315,828,277,5303,26,20,83,17,5296,382800,5303,464,NA,NA,NA
"Census Tract 116, Atlantic County, New Jersey","116",345,516,298,5022,12,27,127,22,4983,220200,5022,231,NA,NA,NA
"Census Tract 116, Essex County, New Jersey","116",801,152,93,3066,10,31,34,0,3066,222700,3066,42,NA,NA,NA
"Census Tract 116, Hudson County, New Jersey","116",883,555,260,4262,0,0,0,16,4262,322400,4262,50,NA,NA,NA
"Census Tract 116, Hunterdon County, New Jersey","116",71,1080,165,5038,14,5,0,99,5038,482100,5038,531,NA,NA,NA
"Census Tract 1165, Passaic County, New Jersey","1165",601,848,442,7654,100,76,32,18,7543,366400,7654,221,NA,NA,NA
"Census Tract 117, Essex County, New Jersey","117",236,383,114,4038,0,121,25,0,4012,261200,4038,84,NA,NA,NA
"Census Tract 117, Hunterdon County, New Jersey","117",161,591,273,4027,159,90,21,0,3997,437400,4027,320,NA,NA,NA
"Census Tract 117.01, Atlantic County, New Jersey","117.01",846,1122,459,9231,57,122,33,81,9231,245000,9231,261,NA,NA,NA
"Census Tract 117.02, Atlantic County, New Jersey","117.02",441,270,69,3558,0,73,9,30,3550,128400,3558,51,NA,NA,NA
"Census Tract 118, Essex County, New Jersey","118",330,211,89,2322,0,50,58,43,2322,281700,2322,86,NA,NA,NA
"Census Tract 118, Hunterdon County, New Jersey","118",80,690,156,3753,79,0,18,43,3544,381600,3753,203,NA,NA,NA
"Census Tract 118.02, Atlantic County, New Jersey","118.02",387,1954,734,16024,155,9,229,0,15936,286500,16024,539,NA,NA,NA
"Census Tract 118.03, Atlantic County, New Jersey","118.03",537,812,148,4695,19,92,0,0,4695,204100,4695,136,NA,NA,NA
"Census Tract 118.04, Atlantic County, New Jersey","118.04",413,606,407,6481,0,0,0,0,6481,228700,6481,219,NA,NA,NA
"Census Tract 118.05, Atlantic County, New Jersey","118.05",115,453,29,2354,3,0,5,33,2354,247400,2354,87,NA,NA,NA
