"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","score"
"Census Tract 13, Middlesex County, New Jersey","13",523,897,90,4369,33,229,0,71,4369,364400,4369,179,NA,NA
"Census Tract 130, Atlantic County, New Jersey","130",231,747,231,3239,9,0,88,0,3239,477100,3239,160,NA,NA
"Census Tract 130, Essex County, New Jersey","130",172,209,117,1935,0,0,0,179,1935,NA,1935,36,NA,NA
"Census Tract 130, Hudson County, New Jersey","130",376,424,136,3929,0,15,29,53,3929,302000,3929,106,NA,NA
"Census Tract 130.01, Bergen County, New Jersey","130.01",683,2470,156,6669,0,377,26,284,6669,629500,6669,268,NA,NA
"Census Tract 130.02, Bergen County, New Jersey","130.02",350,1635,281,5515,54,40,45,260,5515,465000,5515,250,NA,NA
"Census Tract 131, Essex County, New Jersey","131",584,152,63,2037,0,0,18,0,2037,165100,2037,31,NA,NA
"Census Tract 131, Hudson County, New Jersey","131",239,212,87,2229,0,36,176,8,2229,316800,2229,26,NA,NA
"Census Tract 131.01, Atlantic County, New Jersey","131.01",35,335,11,1129,20,0,0,0,1129,657500,1129,61,NA,NA
"Census Tract 131.02, Atlantic County, New Jersey","131.02",115,353,179,1708,49,20,32,29,1708,374400,1708,134,NA,NA
"Census Tract 132, Essex County, New Jersey","132",806,154,87,2343,0,0,0,0,2343,201900,2343,36,NA,NA
"Census Tract 132, Hudson County, New Jersey","132",669,580,103,4286,0,0,0,0,4275,326100,4286,177,NA,NA
"Census Tract 132.01, Atlantic County, New Jersey","132.01",527,262,52,3025,13,23,37,36,3025,312000,3025,40,NA,NA
"Census Tract 132.02, Atlantic County, New Jersey","132.02",341,363,101,2447,16,3,81,39,2447,225900,2447,95,NA,NA
"Census Tract 133, Essex County, New Jersey","133",1376,143,151,3588,0,54,0,0,3588,131600,3588,65,NA,NA
"Census Tract 133, Hudson County, New Jersey","133",412,515,143,3120,10,8,11,117,3018,302000,3120,135,NA,NA
"Census Tract 133.01, Atlantic County, New Jersey","133.01",114,282,73,2029,37,19,53,30,2029,312400,2029,79,NA,NA
"Census Tract 133.02, Atlantic County, New Jersey","133.02",288,389,131,2731,14,22,8,0,2731,253500,2731,199,NA,NA
"Census Tract 1337.01, Passaic County, New Jersey","1337.01",1082,699,215,5140,12,0,0,26,5106,251000,5140,118,NA,NA
"Census Tract 1337.02, Passaic County, New Jersey","1337.02",250,451,71,3198,6,0,0,0,3198,283500,3198,60,NA,NA
"Census Tract 134, Essex County, New Jersey","134",168,1163,125,3849,65,55,8,27,3849,402200,3849,147,NA,NA
"Census Tract 134, Hudson County, New Jersey","134",341,213,187,2665,3,27,0,10,2665,311900,2665,62,NA,NA
"Census Tract 135, Atlantic County, New Jersey","135",124,676,160,2392,18,5,33,42,2392,517900,2392,135,NA,NA
"Census Tract 135, Essex County, New Jersey","135",140,1001,155,4413,11,20,28,16,4413,399100,4413,118,NA,NA
"Census Tract 135, Hudson County, New Jersey","135",931,599,225,5079,12,57,0,73,5079,321100,5079,158,NA,NA
"Census Tract 136, Essex County, New Jersey","136",342,1488,339,6662,55,145,71,134,6662,374700,6662,137,NA,NA
"Census Tract 136, Hudson County, New Jersey","136",435,214,45,2225,0,38,20,11,2225,346600,2225,14,NA,NA
"Census Tract 137, Essex County, New Jersey","137",381,703,163,4377,66,277,0,0,4377,399000,4377,61,NA,NA
